uuid,input,output
4585d9387832408d8f9e66c6bf34c99f,"[(51, 55), (30, 18), (53, 45), (58, 87), (43, 65)]","[(30, 18), (53, 45), (58, 87), (43, 65)]"
36dd3d0541bd486fbae0a868189a8afb,"[(53, 73), (48, 44), (94, 13), (59, 70), (80, 38), (26, 39), (35, 8), (58, 13), (49, 7)]","[(53, 73), (26, 39), (35, 8), (49, 7), (94, 13), (80, 38), (59, 70)]"
6893d7861ba940dab9caa86937acbada,"[(22, 30), (79, 54), (89, 25), (8, 20), (99, 97), (6, 57), (81, 23), (71, 27), (84, 29), (89, 33), (66, 53), (60, 51), (16, 86), (56, 7), (23, 9), (24, 54), (4, 0), (49, 83), (87, 36)]","[(89, 25), (99, 97), (16, 86), (6, 57), (4, 0), (56, 7)]"
0bb8e91747b74b428c328104014029bc,"[(20, 35), (3, 83), (42, 76), (65, 18), (20, 74), (36, 98), (68, 97), (80, 43), (47, 3), (10, 12), (94, 58), (91, 1), (43, 0), (63, 39), (31, 24), (20, 58), (70, 36), (9, 99), (60, 69), (91, 6)]","[(91, 1), (94, 58), (68, 97), (9, 99), (3, 83), (10, 12), (43, 0)]"
2b3cbff0965c417d9a89239e12edcafe,"[(98, 26), (40, 96), (60, 51), (33, 73), (28, 53), (68, 69)]","[(28, 53), (98, 26), (68, 69), (40, 96), (33, 73)]"
881d5b94ca35424e93f6dab3b392e291,"[(7, 7), (94, 67), (72, 85), (84, 91)]","[(7, 7), (94, 67), (84, 91), (72, 85)]"
a1151919fb954b90a5f0c75ea374fd87,"[(67, 43), (84, 46), (71, 0), (83, 51), (95, 38), (0, 89), (5, 74), (91, 98), (30, 87), (73, 96), (83, 83), (7, 26), (21, 78), (92, 32), (8, 70)]","[(91, 98), (0, 89), (7, 26), (71, 0), (92, 32), (95, 38)]"
d85adfe2feea45e3b57eb32e3f451709,"[(44, 45), (59, 4), (57, 57), (50, 93)]","[(44, 45), (59, 4), (57, 57), (50, 93)]"
7a4b2e5d17304cfea662aa111022026f,"[(35, 79), (66, 98), (20, 90), (45, 51), (57, 46), (79, 80), (36, 61), (62, 60), (4, 47), (77, 0), (30, 10), (87, 75), (98, 13), (35, 71), (73, 94), (90, 6), (55, 45), (26, 30), (22, 15), (76, 41)]","[(20, 90), (4, 47), (22, 15), (30, 10), (77, 0), (90, 6), (98, 13), (87, 75), (73, 94), (66, 98)]"
6f0a4a26385243b6895f8eff1b4c6bda,"[(53, 78), (43, 91), (82, 31), (7, 93), (92, 50), (65, 46), (41, 93), (66, 33), (92, 12)]","[(92, 12), (92, 50), (41, 93), (7, 93), (66, 33)]"
51cdfb8886214425b54b9a49488cd736,"[(80, 10), (66, 90), (72, 27)]","[(80, 10), (66, 90), (72, 27)]"
159057c0939f42c5b7bfc3d00076d948,"[(64, 79), (69, 3), (88, 60), (34, 37)]","[(34, 37), (69, 3), (88, 60), (64, 79)]"
27abc6d74551434c82867065478983be,"[(83, 21), (88, 31), (70, 81), (20, 35), (6, 8), (28, 25), (6, 21), (66, 45), (92, 86), (92, 16), (69, 25), (73, 37), (54, 1), (77, 5)]","[(6, 8), (54, 1), (77, 5), (92, 16), (92, 86), (70, 81), (20, 35), (6, 21)]"
765ff61cab864ccebff97f0c81f23e85,"[(12, 5), (90, 47), (74, 59), (54, 42), (78, 67), (62, 10), (72, 57), (71, 91), (45, 89)]","[(90, 47), (71, 91), (45, 89), (12, 5), (62, 10)]"
11290796e9094797862fd9f560551c98,"[(78, 69), (82, 63), (69, 94), (58, 24), (4, 3), (17, 69)]","[(82, 63), (69, 94), (17, 69), (4, 3), (58, 24)]"
0aa6c563bd374b33b08ca9a9ebc20fa4,"[(36, 46), (58, 33), (49, 81), (55, 29), (24, 12), (33, 46), (18, 32), (97, 34), (78, 87), (7, 25), (53, 46)]","[(97, 34), (78, 87), (49, 81), (7, 25), (24, 12)]"
dc3bcd8e7d6742969887dff176707fb8,"[(52, 49), (64, 71), (76, 90), (73, 49), (18, 29), (4, 3), (7, 74), (3, 84), (48, 65), (76, 20), (37, 80), (48, 42), (82, 28), (51, 26)]","[(3, 84), (4, 3), (76, 20), (82, 28), (76, 90)]"
ad39048315354f389d871bf8aa3742df,"[(66, 20), (9, 94), (2, 28), (89, 72), (90, 18), (68, 25), (10, 24), (12, 39), (97, 28), (37, 24), (39, 18), (32, 67), (33, 44), (26, 83), (99, 45), (89, 54), (50, 0), (88, 10), (82, 67)]","[(9, 94), (2, 28), (50, 0), (88, 10), (97, 28), (99, 45), (89, 72)]"
0ae85cc8cca34d8a8e9a2659cf581db1,"[(91, 0), (99, 66), (57, 97), (70, 12), (19, 15), (34, 33), (50, 23), (20, 12), (43, 5)]","[(91, 0), (99, 66), (57, 97), (19, 15), (20, 12), (43, 5)]"
796d1eda6de74ee0b7ad6fa3f1334bc0,"[(1, 2), (10, 76), (6, 29), (6, 9), (38, 72), (75, 5), (85, 53), (50, 65), (51, 43)]","[(10, 76), (1, 2), (75, 5), (85, 53), (38, 72)]"
27deccd58258426f965e4ff29ff82c1f,"[(62, 63), (76, 37), (47, 59), (76, 95), (21, 96), (18, 80), (89, 32), (13, 62), (94, 10), (92, 12), (85, 93), (6, 64), (48, 29), (40, 90), (26, 22), (30, 19), (5, 5), (15, 36)]","[(5, 5), (94, 10), (85, 93), (76, 95), (21, 96), (6, 64)]"
0a4f4145d1a54655b5ed555bfc49705e,"[(5, 52), (92, 80), (76, 29), (26, 0), (83, 87), (12, 79), (7, 74)]","[(5, 52), (26, 0), (76, 29), (92, 80), (83, 87), (12, 79), (7, 74)]"
5ca971a2e6c645e7a9d18be149beaaac,"[(61, 62), (67, 56), (16, 48), (73, 17), (84, 57), (56, 9)]","[(16, 48), (56, 9), (73, 17), (84, 57), (61, 62)]"
25a11a8f80ef468cafba4ba99df9c93a,"[(62, 27), (79, 47), (78, 11), (33, 87), (4, 78), (16, 30), (71, 90), (62, 34), (23, 54), (91, 81), (7, 35), (22, 71), (98, 59), (30, 37), (80, 68)]","[(78, 11), (98, 59), (91, 81), (71, 90), (33, 87), (4, 78), (7, 35), (16, 30)]"
68e1d3edca054e5db7ca7922e0203c40,"[(19, 67), (8, 86), (96, 60), (81, 93), (69, 41), (1, 40), (29, 60), (5, 81), (80, 51), (40, 40), (22, 59), (30, 94), (19, 29), (4, 97), (20, 94), (74, 37)]","[(4, 97), (1, 40), (19, 29), (74, 37), (96, 60), (81, 93)]"
b4a49a67570b40d3975a02fdc5cafb03,"[(99, 43), (39, 69), (29, 19), (65, 22), (23, 11), (72, 11), (0, 33), (87, 7), (37, 26), (63, 48), (26, 71), (89, 54), (89, 96), (6, 82), (88, 87), (79, 21), (41, 2), (17, 8), (80, 10)]","[(99, 43), (89, 96), (6, 82), (0, 33), (17, 8), (41, 2), (87, 7)]"
a0a2f4c87a6c4946b68e18cae4a3c1ff,"[(38, 35), (38, 88), (65, 49), (59, 79), (36, 84), (5, 9), (5, 4), (38, 49)]","[(65, 49), (59, 79), (38, 88), (36, 84), (5, 9), (5, 4)]"
4dd77f497d904b53ba63347db166d25d,"[(83, 81), (3, 26), (77, 70), (11, 47), (13, 98)]","[(13, 98), (3, 26), (77, 70), (83, 81)]"
d11b81763d8b44ea8adaef9e13de2cec,"[(57, 25), (17, 97), (89, 95), (85, 45), (55, 6), (68, 89), (98, 88), (11, 38), (98, 51), (97, 16), (19, 23), (11, 90), (97, 3)]","[(55, 6), (97, 3), (98, 51), (98, 88), (89, 95), (17, 97), (11, 90), (11, 38), (19, 23)]"
e6178b424fc549648e85a2f200fd227d,"[(29, 88), (2, 68), (5, 86), (71, 57), (15, 93), (78, 11), (35, 78), (52, 82), (7, 89), (51, 3), (51, 37), (29, 7), (55, 29), (11, 78), (67, 11), (77, 73), (55, 11)]","[(78, 11), (77, 73), (52, 82), (15, 93), (7, 89), (5, 86), (2, 68), (29, 7), (51, 3)]"
42ba0d13595b4fa687770448d09aea39,"[(60, 3), (63, 88), (59, 85), (1, 28), (18, 58), (53, 85), (28, 78), (64, 65), (85, 76), (88, 11), (73, 25), (8, 11), (82, 90), (11, 34), (92, 1), (51, 16), (81, 1), (55, 16), (15, 33)]","[(28, 78), (1, 28), (8, 11), (60, 3), (81, 1), (92, 1), (85, 76), (82, 90), (63, 88)]"
432e1ae1df7f47879619cafbc46b802e,"[(44, 83), (40, 32), (72, 23), (77, 68)]","[(44, 83), (40, 32), (72, 23), (77, 68)]"
280824a4eca34798b0fbbab5065fd25d,"[(31, 15), (79, 51), (83, 12)]","[(31, 15), (83, 12), (79, 51)]"
4717025867184594bbc387ef39f6acf8,"[(10, 15), (80, 28), (70, 71), (21, 27), (94, 88), (67, 57), (80, 58), (64, 88), (1, 76), (50, 13), (96, 18), (82, 78), (82, 78), (57, 20), (22, 71), (15, 55)]","[(96, 18), (94, 88), (64, 88), (1, 76), (10, 15), (50, 13)]"
f6acb1dc8c6a4a918d0d00f1454ce96a,"[(91, 57), (44, 80), (15, 41), (87, 90), (75, 66), (77, 47), (29, 17), (95, 20), (82, 38), (4, 64), (28, 6), (65, 22), (49, 79), (49, 74), (87, 34)]","[(4, 64), (28, 6), (95, 20), (91, 57), (87, 90), (44, 80)]"
474bb3b8b159445dbf8147f643ca1fc7,"[(38, 68), (21, 17), (34, 3), (32, 94), (42, 87), (44, 29), (99, 30), (41, 75), (27, 66), (48, 93), (10, 60)]","[(34, 3), (99, 30), (48, 93), (32, 94), (10, 60), (21, 17)]"
cbdc1c1c7c6949b4bbb9855886b70028,"[(51, 17), (73, 10), (87, 17), (64, 3), (17, 73), (40, 29), (21, 67), (94, 71), (26, 80), (15, 98)]","[(94, 71), (15, 98), (17, 73), (40, 29), (51, 17), (64, 3), (87, 17)]"
de273c3c32a248d294568dbd71815eae,"[(61, 51), (90, 78), (6, 59), (32, 86), (81, 95), (37, 8), (27, 56)]","[(6, 59), (37, 8), (90, 78), (81, 95), (32, 86)]"
59219a8909a4459f8ea9a87ffaf8d52a,"[(58, 59), (81, 7), (92, 12), (16, 32), (72, 84)]","[(72, 84), (16, 32), (81, 7), (92, 12)]"
a1b1e3616fd0429fabc9cfd953cf07c6,"[(75, 4), (93, 36), (40, 80), (0, 82), (84, 37), (92, 94), (77, 35), (37, 48), (47, 0), (61, 49), (50, 57), (68, 9), (76, 50), (57, 97)]","[(0, 82), (47, 0), (75, 4), (93, 36), (92, 94), (57, 97)]"
5c1d77685f5b4967b83b3a5cccbff306,"[(12, 33), (70, 51), (36, 27), (99, 56), (36, 21), (30, 39), (19, 74), (38, 29), (44, 29), (35, 61), (14, 58), (29, 24), (51, 16), (60, 64), (81, 98), (67, 13), (29, 1), (27, 2), (3, 66)]","[(99, 56), (81, 98), (19, 74), (3, 66), (12, 33), (27, 2), (29, 1), (67, 13)]"
def33b44e97f44c9925abbcfb351eb92,"[(30, 92), (39, 65), (85, 77), (77, 83), (49, 47), (26, 81), (12, 36), (64, 71), (1, 53), (36, 70), (10, 9), (32, 15), (28, 18), (58, 29), (66, 53)]","[(1, 53), (10, 9), (32, 15), (58, 29), (85, 77), (77, 83), (30, 92)]"
638cdef9f094479bbeb307a843ef1f58,"[(82, 3), (2, 81), (29, 44), (17, 38), (35, 42), (19, 74), (16, 37), (23, 40), (12, 27), (99, 4), (56, 51), (66, 22), (20, 37)]","[(82, 3), (99, 4), (56, 51), (19, 74), (2, 81), (12, 27)]"
c5ceb90cec854d9185c136f4b152ace0,"[(30, 19), (7, 77), (88, 56), (88, 18), (15, 71), (10, 60)]","[(88, 56), (7, 77), (10, 60), (30, 19), (88, 18)]"
c048dd7a4ce04679855459db5968885b,"[(39, 90), (16, 80), (52, 46)]","[(16, 80), (52, 46), (39, 90)]"
a40d49cbe9ef473ba3639101ce3f57ad,"[(94, 15), (84, 44), (23, 83)]","[(23, 83), (94, 15), (84, 44)]"
5e9bf06d97b04cfe85834f1c23e6aa5a,"[(27, 27), (45, 77), (98, 48), (81, 87), (87, 94)]","[(27, 27), (98, 48), (87, 94), (45, 77)]"
4952165703dd4cdc82d135db17f61dc6,"[(97, 99), (98, 48), (28, 99), (65, 89), (68, 69), (85, 65), (72, 99), (33, 71)]","[(97, 99), (28, 99), (33, 71), (98, 48)]"
cca8e2256af84b4baffea93f3881696d,"[(1, 50), (71, 27), (25, 96), (77, 43)]","[(25, 96), (1, 50), (71, 27), (77, 43)]"
60f97a15297f42da94dba0c83e15319e,"[(45, 83), (80, 46), (43, 64), (67, 20), (8, 96)]","[(8, 96), (67, 20), (80, 46), (45, 83)]"
5aa29ae010b64364a39d892e707bbd33,"[(5, 75), (85, 28), (24, 95), (2, 65), (71, 80)]","[(2, 65), (85, 28), (71, 80), (24, 95), (5, 75)]"
df8972cda0d1475f931dadf2abfe01c0,"[(21, 58), (69, 5), (33, 51), (2, 61), (27, 83), (19, 17), (15, 45), (71, 96), (29, 62), (35, 22), (97, 97), (48, 9), (49, 5), (80, 76), (56, 61), (63, 42), (88, 16)]","[(2, 61), (19, 17), (49, 5), (69, 5), (88, 16), (97, 97), (71, 96), (27, 83)]"
3fc7e4b77b604ff599444de7eef7cd24,"[(68, 30), (60, 59), (25, 14), (14, 48), (61, 56), (53, 65), (81, 7), (29, 69), (70, 15), (28, 52), (74, 32), (5, 87), (84, 78), (55, 34), (50, 29), (86, 51), (53, 89), (10, 53), (43, 4), (59, 64)]","[(81, 7), (86, 51), (84, 78), (53, 89), (5, 87), (10, 53), (25, 14), (43, 4)]"
3a86d6036e004c85974c6ccdf46e58e6,"[(88, 31), (17, 94), (68, 73), (56, 48), (32, 99), (81, 32), (72, 14), (73, 61)]","[(17, 94), (72, 14), (88, 31), (68, 73), (32, 99)]"
421330ad303d4bc5966e9523a17c92dc,"[(56, 97), (28, 50), (43, 46)]","[(56, 97), (28, 50), (43, 46)]"
2d6f0c27c74243e092f722db7a1019d5,"[(72, 89), (37, 26), (2, 60), (17, 83), (15, 78), (67, 18), (85, 96), (93, 91), (22, 36), (82, 20), (7, 3), (55, 18), (49, 77), (26, 51), (4, 49)]","[(2, 60), (7, 3), (82, 20), (93, 91), (85, 96), (17, 83)]"
fd73b3a1519d4979b5ffb46779253446,"[(18, 71), (12, 94), (91, 45), (98, 80)]","[(98, 80), (12, 94), (18, 71), (91, 45)]"
b34f6cf0f3214a9a9486825e97a688ad,"[(88, 37), (16, 50), (45, 24), (91, 48)]","[(91, 48), (16, 50), (45, 24), (88, 37)]"
d56c651374804e1485e9360253b9167c,"[(4, 25), (51, 75), (46, 95), (40, 91), (14, 22), (10, 43), (27, 84), (78, 55), (13, 2), (4, 25), (86, 0), (15, 95), (29, 56), (78, 70), (42, 82)]","[(15, 95), (4, 25), (13, 2), (86, 0), (78, 70), (46, 95)]"
e416aab0e348460188a3934f08523079,"[(89, 84), (77, 17), (12, 0), (62, 39), (37, 38), (83, 98), (31, 65), (28, 48), (59, 86), (83, 45), (40, 49), (89, 22), (29, 92), (28, 65), (52, 85), (42, 66), (10, 32)]","[(10, 32), (12, 0), (77, 17), (89, 22), (89, 84), (83, 98), (29, 92)]"
1dee8e9799eb4046b813f6d61a9e212c,"[(35, 81), (23, 11), (82, 64), (89, 67), (79, 61), (27, 54), (85, 36), (1, 84), (9, 19)]","[(85, 36), (89, 67), (35, 81), (1, 84), (9, 19), (23, 11)]"
c95a8b1a5a894a19aa683af0a1fa1f3b,"[(69, 95), (84, 11), (62, 34), (68, 91), (41, 49), (80, 71), (16, 39), (57, 58), (5, 5), (96, 73), (22, 88), (3, 12), (8, 97), (62, 59), (92, 78), (41, 15), (74, 4), (92, 22)]","[(8, 97), (3, 12), (5, 5), (74, 4), (84, 11), (92, 22), (96, 73), (92, 78), (69, 95)]"
4be2f3ecf27f47d08825ecbb8d65fcb6,"[(71, 79), (72, 41), (5, 89), (39, 22), (79, 89)]","[(79, 89), (5, 89), (39, 22), (72, 41)]"
bcd663c7bf8c4d3fa592e8fa5add332d,"[(11, 95), (99, 43), (26, 91), (82, 13), (72, 78), (1, 55), (99, 5), (46, 23), (55, 42), (10, 49), (74, 75), (24, 56)]","[(11, 95), (1, 55), (46, 23), (99, 5), (99, 43), (72, 78), (26, 91)]"
ed2e8e5140aa4234bbe81d80a1e10709,"[(24, 63), (81, 14), (21, 32), (94, 65), (18, 65), (63, 36), (89, 25), (29, 76), (37, 72), (49, 50), (40, 12), (95, 24), (11, 19), (56, 67)]","[(95, 24), (94, 65), (29, 76), (18, 65), (11, 19), (40, 12), (81, 14)]"
bd451abb9cf34e1cb8c118bfa8d5a13f,"[(7, 45), (52, 7), (92, 47), (14, 39), (72, 94), (46, 19), (99, 50), (35, 65), (81, 43), (23, 82), (61, 78), (53, 89), (12, 56)]","[(99, 50), (72, 94), (23, 82), (7, 45), (14, 39), (52, 7)]"
b6f4448bc1ba4bb1b6aed5e0572aea97,"[(50, 48), (34, 74), (90, 11), (11, 93), (11, 34), (36, 74), (49, 76), (76, 39), (81, 10), (95, 2), (74, 75)]","[(11, 93), (11, 34), (95, 2), (74, 75)]"
147bcc632a2742688d6f189bf9670150,"[(51, 22), (41, 60), (91, 91), (3, 2), (16, 8), (63, 72), (64, 89), (13, 38), (38, 52), (4, 97), (3, 88), (19, 63), (81, 21), (16, 4), (71, 31), (24, 75), (11, 37)]","[(91, 91), (4, 97), (3, 88), (3, 2), (16, 4), (81, 21)]"
6f13e851acd046e1b7da899f4109c0e5,"[(22, 25), (42, 57), (59, 69), (95, 89), (54, 45), (73, 88), (51, 51), (82, 59), (23, 44), (83, 26)]","[(22, 25), (83, 26), (95, 89), (73, 88), (23, 44)]"
a96061012f09489997bb2f3c07790867,"[(32, 39), (30, 94), (14, 86), (71, 0), (96, 81), (61, 58), (1, 12), (47, 91), (43, 43), (90, 54), (15, 47), (68, 22), (74, 31), (85, 34)]","[(1, 12), (71, 0), (85, 34), (90, 54), (96, 81), (47, 91), (30, 94), (14, 86)]"
809aeb5c2888455e9facfbff914ab65d,"[(42, 44), (68, 81), (62, 70), (36, 6), (83, 48)]","[(36, 6), (83, 48), (68, 81), (42, 44)]"
29f4580c71954608bf188d2c7fea6034,"[(28, 2), (77, 37), (56, 71), (9, 87), (85, 94), (66, 81), (9, 3), (36, 98), (28, 80), (64, 82), (74, 50), (13, 61)]","[(77, 37), (85, 94), (36, 98), (9, 87), (9, 3), (28, 2)]"
b9d298809111407d9828521a5c863a75,"[(82, 74), (28, 9), (35, 91), (53, 99), (26, 75), (42, 96), (46, 38), (69, 31), (28, 22), (43, 91), (83, 57), (62, 21), (74, 97)]","[(26, 75), (28, 9), (62, 21), (69, 31), (83, 57), (82, 74), (74, 97), (53, 99), (42, 96), (35, 91)]"
5ef3b825ae1e4adbbeff1a81710eb96f,"[(41, 0), (99, 83), (41, 6), (23, 93), (52, 67), (23, 31), (72, 29), (41, 16), (60, 67), (47, 26), (15, 6), (36, 11), (65, 81), (94, 55), (42, 43)]","[(23, 93), (15, 6), (41, 0), (72, 29), (94, 55), (99, 83)]"
03bd585392ff4e4fb8a4622d3f6e98e0,"[(20, 99), (91, 63), (92, 43), (14, 27), (14, 87), (80, 20)]","[(14, 27), (80, 20), (92, 43), (91, 63), (20, 99), (14, 87)]"
987700ba3e704f058e118c4832c4fb06,"[(32, 68), (65, 45), (22, 39), (21, 24), (57, 86)]","[(21, 24), (65, 45), (57, 86), (32, 68), (22, 39)]"
2eee9ee0eadf46da89e5866f8c3c620e,"[(52, 83), (90, 25), (8, 45), (5, 3), (97, 84), (86, 83), (82, 37), (10, 33), (62, 60), (29, 89), (11, 7), (30, 60), (71, 37), (58, 84), (94, 98), (42, 16), (85, 45), (71, 39), (25, 33), (54, 97)]","[(97, 84), (94, 98), (54, 97), (29, 89), (8, 45), (5, 3), (90, 25)]"
4dec3b5197514b57acb814b9bca01510,"[(73, 6), (87, 97), (68, 60), (24, 88)]","[(87, 97), (24, 88), (73, 6)]"
8df8628967814518b6607abb192bf3ef,"[(29, 3), (28, 53), (24, 37), (3, 7), (82, 80), (21, 75), (6, 11), (84, 2), (21, 54), (27, 5), (26, 17), (89, 78), (64, 5)]","[(84, 2), (89, 78), (82, 80), (21, 75), (3, 7), (29, 3)]"
e6a1db2cefec40a1b890e9ff17301c45,"[(81, 94), (30, 17), (98, 38), (3, 79), (0, 1), (93, 15), (44, 86), (44, 17), (61, 53), (0, 22), (17, 77), (29, 47), (91, 66), (34, 11), (59, 9), (21, 40), (63, 54)]","[(81, 94), (3, 79), (0, 22), (0, 1), (59, 9), (93, 15), (98, 38), (91, 66)]"
babb068da2764f1fb8741a6e11b02041,"[(4, 88), (10, 3), (6, 11), (44, 57), (72, 50), (8, 15), (72, 57), (18, 3), (2, 60), (69, 39), (93, 85), (29, 29), (27, 53), (17, 67), (58, 56), (11, 75), (49, 79), (72, 45)]","[(4, 88), (2, 60), (6, 11), (10, 3), (18, 3), (69, 39), (93, 85)]"
2a7ef27112294c81a7a39e8e2dc301ec,"[(97, 97), (11, 78), (5, 38), (30, 11), (58, 74), (68, 89), (59, 32), (32, 50), (37, 40), (43, 70), (60, 30), (45, 22), (29, 75), (27, 35), (27, 84), (29, 68), (72, 63), (75, 4)]","[(75, 4), (97, 97), (27, 84), (11, 78), (5, 38), (30, 11)]"
1b0fc6ceebeb49d99e6d62af12cfddac,"[(29, 67), (63, 71), (61, 62), (91, 72), (83, 37), (90, 5), (26, 97), (73, 55), (50, 92), (95, 46), (94, 38), (17, 49), (71, 8), (56, 65), (35, 66), (73, 62), (92, 16), (47, 61), (48, 66), (71, 11)]","[(26, 97), (17, 49), (71, 8), (90, 5), (92, 16), (95, 46), (91, 72), (50, 92)]"
d1a4aafed3d843a99f78ff5732197b15,"[(20, 73), (14, 65), (52, 75), (71, 87), (29, 70), (5, 40), (14, 60), (79, 36), (51, 12), (32, 35), (23, 62), (91, 69), (6, 62)]","[(5, 40), (51, 12), (79, 36), (91, 69), (71, 87), (20, 73), (6, 62)]"
09bbef72268c4ed7bc950118e392a862,"[(18, 41), (0, 13), (1, 45), (84, 48), (77, 56), (90, 58), (21, 17), (78, 86), (13, 95), (67, 89), (17, 92), (5, 77), (26, 7), (63, 26), (27, 17)]","[(90, 58), (78, 86), (67, 89), (13, 95), (5, 77), (1, 45), (0, 13), (26, 7), (63, 26), (84, 48)]"
6278b5808edd4ad88ded7396efa5f2cb,"[(43, 6), (47, 7), (94, 53), (92, 26), (72, 75), (58, 37), (27, 93)]","[(27, 93), (43, 6), (47, 7), (92, 26), (94, 53), (72, 75)]"
b3963d4ee5944fe9b5ccd809d189d095,"[(20, 80), (93, 90), (56, 61), (61, 31), (55, 70), (92, 89), (23, 75), (57, 17), (9, 31), (0, 31), (19, 84), (71, 90), (50, 39), (38, 50), (67, 74), (30, 38), (37, 68), (56, 39), (5, 79), (59, 13)]","[(0, 31), (59, 13), (93, 90), (71, 90), (19, 84), (5, 79)]"
81eb337fcfbb4b0c81c3a7c986609216,"[(11, 51), (75, 34), (54, 58), (36, 80), (82, 28), (75, 9)]","[(36, 80), (11, 51), (75, 9), (82, 28)]"
8cbd1c467afc4827b7f9748bb82c8da3,"[(8, 58), (17, 18), (92, 12), (25, 1), (94, 27), (59, 10), (94, 67), (59, 61)]","[(94, 67), (8, 58), (17, 18), (25, 1), (92, 12), (94, 27)]"
